9/22/2010,31.4,IQTR113646118,IQ113645234,Assets/Products,IQ28367026
8/3/2010,15119.03,IQTR112637421,IQ346012,Private Company,IQ687130
8/30/2010,54.94,IQTR112655624,IQ343443,Private Company,IQ266099
8/11/2010,161.61,IQTR111706915,IQ94884,Private Company,IQ61140609
8/16/2010,589.42,IQTR111807892,IQ111807813,Assets/Products,IQ65914087
8/29/2010,39.44,IQTR112702281,IQ112702060,Assets/Products,IQ1432337
7/19/2010,84.705,IQTR109554855,IQ27304,Private Company,IQ30993133
7/19/2010,84.705,IQTR109554855,IQ27304,Private Company,IQ79319638
8/4/2010,386.31,IQTR111319066,IQ111319043,Assets/Products,IQ275442
9/28/2010,34.99,IQTR113878498,IQ113878196,Private Company,IQ113878357
8/26/2010,66.5,IQTR112331334,IQ112331311,Assets/Products,IQ384522
9/27/2010,163.14,IQTR113823114,IQ9573447,Private Company,IQ9917384
7/22/2010,37.85,IQTR109769208,IQ109768984,Private Company,IQ264048
8/16/2010,299.47,IQTR111817607,IQ3176566,Private Company,IQ21465
9/28/2010,327.89,IQTR113870638,IQ54840404,Private Company,IQ1002655
7/26/2010,30,IQTR116463695,IQ780750,Private Company,IQ860134
9/28/2010,871.78,IQTR113872036,IQ6744911,Private Company,IQ2831467
9/27/2010,75,IQTR113829800,IQ33198138,Private Company,IQ23373416
9/15/2010,320,IQTR113373606,IQ49374717,Private Company,IQ21073
9/13/2010,719.2,IQTR113278919,IQ30026,Private Company,IQ30643
9/13/2010,62.41,IQTR113284481,IQ34544,Private Company,IQ426471
8/27/2010,426.98,IQTR112579176,IQ27951,Private Company,IQ22614982
8/2/2010,280.46,IQTR110172177,IQ13544210,Private Company,IQ27128368
7/12/2010,17.3133333333333,IQTR116641150,IQ116640806,Assets/Products,IQ100847536
7/12/2010,17.3133333333333,IQTR116641150,IQ116640806,Assets/Products,IQ25553237
7/12/2010,17.3133333333333,IQTR116641150,IQ116640806,Assets/Products,IQ30517219
